Market,Selection,Win Prob,Fair Odds,Cur,Edge (EV),QES,Verdict,Rating
Game Total,OVER 5.5,72.0%,-257,-115,+34.7%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 5.5,75.2%,-302,-120,+37.8%,10.0,💎,⭐⭐⭐⭐⭐
Spread,New York Rangers +1.5,66.3%,-196,-135,+15.4%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 5.5,64.8%,-184,-125,+16.7%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 6.5,56.6%,-130,110,+18.9%,10.0,💎,⭐⭐⭐⭐⭐
Spread,Calgary Flames +1.5,82.8%,-479,-250,+15.9%,10.0,💎,⭐⭐⭐⭐⭐
Moneyline,Calgary Flames ML,59.2%,-144,-105,+15.5%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 5.5,68.2%,-214,-122,+24.1%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 6.5,66.3%,-196,100,+32.5%,10.0,💎,⭐⭐⭐⭐⭐
Game Total,OVER 5.5,67.5%,-207,-130,+19.3%,10.0,💎,⭐⭐⭐⭐⭐
Moneyline,Vancouver Canucks ML,38.6%,+158,250,+35.2%,10.0,🥇,⭐⭐⭐⭐
Spread,Vancouver Canucks +1.5,66.2%,-195,102,+33.7%,10.0,💎,⭐⭐⭐⭐⭐
Spread,Toronto Maple Leafs +1.5,65.4%,-188,-142,+11.4%,9.5,💎,⭐⭐⭐⭐⭐
Game Total,UNDER 6.5,53.8%,-116,105,+10.2%,9.1,🥇,⭐⭐⭐⭐
Game Total,OVER 6.5,62.1%,-163,-138,+7.1%,9.0,💎,⭐⭐⭐⭐⭐
Spread,San Jose Sharks +1.5,70.6%,-239,-196,+6.5%,9.0,💎,⭐⭐⭐⭐⭐
Moneyline,Washington Capitals ML,62.0%,-163,-130,+9.8%,9.0,💎,⭐⭐⭐⭐⭐
Spread,Philadelphia Flyers +1.5,70.6%,-239,-185,+8.7%,9.0,💎,⭐⭐⭐⭐⭐
Spread,Winnipeg Jets +1.5,70.7%,-240,-195,+6.9%,9.0,💎,⭐⭐⭐⭐⭐
Spread,Detroit Red Wings +1.5,78.7%,-368,-270,+7.8%,9.0,💎,⭐⭐⭐⭐⭐
Moneyline,Philadelphia Flyers ML,43.3%,+130,150,+8.3%,8.3,🥇,⭐⭐⭐⭐
Moneyline,New York Rangers ML,38.5%,+159,180,+7.9%,8.2,🥇,⭐⭐⭐⭐
Game Total,OVER 6.5,51.6%,-106,105,+5.8%,7.3,🥇,⭐⭐⭐⭐
Game Total,OVER 6.5,49.2%,+103,114,+5.3%,7.1,🥇,⭐⭐⭐⭐
Spread,Florida Panthers +1.5,68.1%,-213,-185,+4.9%,7.0,🥇,⭐⭐⭐⭐
Moneyline,Toronto Maple Leafs ML,37.5%,+166,180,+5.0%,7.0,🥇,⭐⭐⭐⭐
Moneyline,Detroit Red Wings ML,53.2%,-113,-105,+3.9%,6.6,🥇,⭐⭐⭐⭐
Moneyline,Ottawa Senators ML,56.5%,-129,-125,+1.7%,5.7,🥉,⭐⭐
